typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","376","ISR","Israel","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1940","true","-1","N/A",,"false","1940","true",,"false","10000",,"10000","6","true","false",
"C","A","20140101","2014","52","2014","380","ITA","Italy","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2850","false","-1","N/A",,"true","2850","false",,"false","46849",,"46849","0","false","false",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","36","AUS","Australia","0","W00","World","H3","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","569","false","8","kg","569","false","569","false","0","false","18848.72",,"18848.72","0","false","true",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150969","false","-1","N/A",,"false","150969","false",,"false","781477",,"781477","0","true","false",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","312032.558","true","-1","N/A","0","false","312032.558","true","0","false","1666062",,"1666062","6","false","true",
"C","A","20140101","2014","52","2014","414","KWT","Kuwait","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150","false","-1","N/A",,"false","150","false",,"false","2117",,"2117","0","true","false",
"C","A","20140101","2014","52","2014","440","LTU","Lithuania","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","987","false","-1","N/A",,"false","987","false",,"false","13461",,"13461","0","true","false",
"C","A","20140101","2014","52","2014","454","MWI","Malawi","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","223.73","false","8","kg","223.73","false","223.73","false","0","false","46.126",,"46.126","0","false","true",
"C","A","20140101","2014","52","2014","458","MYS","Malaysia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52037","false","-1","N/A",,"false","52037","false",,"false","346779",,"346779","0","true","false",
"C","A","20140101","2014","52","2014","462","MDV","Maldives","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","3208","Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1303","true","-1","N/A",,"false","1303","true",,"false","6719",,"6719","6","true","false",
