name,longitude,latitude,city,state
Newcastle Theatre Company,151.7789,-32.9267,Newcastle,
Roo Theatre Company,150.8607,-34.5822,Shellharbour Village,NSW
Newcastle Comedy Club,151.7749,-32.9268,Newcastle,
La Petite Grande Mini Circus Tent,150.8538,-34.6695,Kiama,
Miners Lamp Theatre,150.8971,-34.3698,Wollongong,
Central Library Theatrette,150.8988,-34.4275,Wollongong,
Laughter House Anywhere Festival Hub,150.8986,-34.4265,Wollongong,
Regent Theatre,150.8934,-34.4242,Wollongong,
The Spiegeltent Wollongong,150.8986,-34.4265,Wollongong,
Merrigong Theatre Company,150.8986,-34.4265,Wollongong,
George Wood Performing Arts Centre,145.2554,-37.7865,Ringwood,
Side Door Theatre,150.8908,-34.4256,Wollongong,
Albury Entertainment Centre,146.9174,-36.0791,Albury,
Roxy Theatre,150.5709,-29.8692,Bingara,
Belgrave Cinema,151.6644,-30.511,Armidale,
Armidale Playhouse,151.6522,-30.5093,Armidale,
Glen Innes Chapel Theatre,151.7345,-29.739,Glen Innes,
The Civic Theatre,150.2562,-30.9782,Gunnedah,
Forum 6 Cinemas,150.9306,-31.0909,Tamworth,
Tamworth Regional Entertainment Centre,150.9183,-31.1291,Tamworth,
Clarence Valley Conservatorium,152.9366,-29.6938,Bom Bom,NSW
Park Lane Theatre,153.5914,-28.794,Lennox Head,
Bowraville Theatre,152.8527,-30.6462,Bellingen,
Ballina Players,153.5667,-28.8693,Ballina,
Jetty Memorial Theatre,153.1345,-30.3047,Coffs Harbour,
Lilydale Athenæum Theatre Company,145.3535,-37.7557,Lilydale,
Bandbox Theatre,152.8295,-31.0754,Kempsey,
Byron Entertainment Centre,153.58,-28.6337,Byron Bay,
The Space - Bryon Bay,153.5842,-28.6353,Byron Bay,
The Pelican Playhouse,152.9366,-29.7016,South Grafton,
Beryl Jane Flett Studio,152.4942,-31.8973,Taree,
Banner Park,153.5513,-28.5391,Brunswick Heads,
The Drill Hall Theatre,153.4988,-28.5561,Mullumbimby Creek,
Eltham Little Theatre,145.1844,-37.7013,Eltham,
NORPA (Northern Rivers Performing Arts),153.2739,-28.813,Lismore,NSW
Glasshouse,152.9095,-31.4291,Port Macquarie,
Glasshouse Port Macquarie,152.909,-31.4294,Port Macquarie,
Dubbo RSL,148.6033,-32.2494,Dubbo,
Adelonia Theatre,148.0656,-35.3086,Adelong,
The Arts Centre Cootamundra,148.0276,-34.6415,Cootamundra,
The Athenium Theatre,147.5799,-34.8639,Junee,
The Roxy Community Theatre,146.4052,-34.5522,Leeton,
CRC Plaza Theatre,146.5508,-34.7455,Narrandera,
Town Hall Theatre,147.5351,-34.4465,Temora,
Montreal Theatre,148.2226,-35.3007,Tumut,
Yass Liberty Theatre,148.9122,-34.8438,Yass,
Wagga Wagga Wollundry Ampitheatre,147.3732,-35.1107,Wagga Wagga,
Wollundry Amphitheatre,147.3718,-35.1088,Wagga Wagga,
Civic Theatre,147.3726,-35.1093,Wagga Wagga,
Wagga Wagga Civic Centre,147.3705,-35.1099,Wagga Wagga,
Jindabyne Cinema,148.6217,-36.4149,Jindabyne,
The Queanbeyan Performing Arts Centre,149.2348,-35.354,Queanbeyan East,
Yuin Theatre - Bays Pavillions,150.1736,-35.7088,Batemans Bay,
