state,institution,year,faculty,enrolments
New South Wales,Southern Cross University,2023,Engineering and Related Technologies,496
New South Wales,Southern Cross University,2023,"Agriculture, Environmental and Related Studies",176
New South Wales,Southern Cross University,2023,Health,3943
New South Wales,Southern Cross University,2023,Education,6118
New South Wales,Southern Cross University,2023,Management and Commerce,1865
New South Wales,Southern Cross University,2023,Society and Culture,2289
New South Wales,Southern Cross University,2023,Creative Arts,500
New South Wales,Southern Cross University,2023,"Food, Hospitality and Personal Services",75
New South Wales,Southern Cross University,2023,Mixed Field Programmes,622
New South Wales,Southern Cross University,2023,Non-Award Courses,87
New South Wales,Southern Cross University,2024,Natural and Physical Sciences,583
New South Wales,Southern Cross University,2024,Information Technology,869
New South Wales,Southern Cross University,2024,Engineering and Related Technologies,530
New South Wales,Southern Cross University,2024,"Agriculture, Environmental and Related Studies",188
New South Wales,Southern Cross University,2024,Health,4212
New South Wales,Southern Cross University,2024,Education,6535
New South Wales,Southern Cross University,2024,Management and Commerce,1992
New South Wales,Southern Cross University,2024,Society and Culture,2445
New South Wales,Southern Cross University,2024,Creative Arts,534
New South Wales,Southern Cross University,2024,"Food, Hospitality and Personal Services",80
New South Wales,Southern Cross University,2024,Mixed Field Programmes,664
New South Wales,Southern Cross University,2024,Non-Award Courses,93
New South Wales,The University of New England,2020,Natural and Physical Sciences,2778
New South Wales,The University of New England,2020,Information Technology,943
New South Wales,The University of New England,2020,Engineering and Related Technologies,6
New South Wales,The University of New England,2020,Architecture and Building,549
New South Wales,The University of New England,2020,"Agriculture, Environmental and Related Studies",1680
New South Wales,The University of New England,2020,Health,1920
New South Wales,The University of New England,2020,Education,5091
New South Wales,The University of New England,2020,Management and Commerce,2521
New South Wales,The University of New England,2020,Society and Culture,9094
New South Wales,The University of New England,2020,Creative Arts,276
New South Wales,The University of New England,2020,Mixed Field Programmes,389
New South Wales,The University of New England,2020,Non-Award Courses,141
New South Wales,The University of New England,2021,Natural and Physical Sciences,2650
New South Wales,The University of New England,2021,Information Technology,899
New South Wales,The University of New England,2021,Engineering and Related Technologies,6
New South Wales,The University of New England,2021,Architecture and Building,524
New South Wales,The University of New England,2021,"Agriculture, Environmental and Related Studies",1603
New South Wales,The University of New England,2021,Health,1831
New South Wales,The University of New England,2021,Education,4857
New South Wales,The University of New England,2021,Management and Commerce,2405
New South Wales,The University of New England,2021,Society and Culture,8675
New South Wales,The University of New England,2021,Creative Arts,263
New South Wales,The University of New England,2021,Mixed Field Programmes,371
New South Wales,The University of New England,2021,Non-Award Courses,135
New South Wales,The University of New England,2022,Natural and Physical Sciences,2383
New South Wales,The University of New England,2022,Information Technology,809
New South Wales,The University of New England,2022,Engineering and Related Technologies,6
New South Wales,The University of New England,2022,Architecture and Building,471
New South Wales,The University of New England,2022,"Agriculture, Environmental and Related Studies",1441
New South Wales,The University of New England,2022,Health,1647
New South Wales,The University of New England,2022,Education,4368
New South Wales,The University of New England,2022,Management and Commerce,2163
New South Wales,The University of New England,2022,Society and Culture,7802
New South Wales,The University of New England,2022,Creative Arts,237
New South Wales,The University of New England,2022,Mixed Field Programmes,333
New South Wales,The University of New England,2022,Non-Award Courses,121
New South Wales,The University of New England,2023,Natural and Physical Sciences,2248
New South Wales,The University of New England,2023,Information Technology,763
New South Wales,The University of New England,2023,Engineering and Related Technologies,5
New South Wales,The University of New England,2023,Architecture and Building,444
New South Wales,The University of New England,2023,"Agriculture, Environmental and Related Studies",1360
New South Wales,The University of New England,2023,Health,1554
New South Wales,The University of New England,2023,Education,4121
New South Wales,The University of New England,2023,Management and Commerce,2041
New South Wales,The University of New England,2023,Society and Culture,7360
New South Wales,The University of New England,2023,Creative Arts,223
