typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3493147.07","true","-1","N/A","0","false","3493147.07","true","0","false","1245782",,"1245782","6","false","true",
"C","A","20140101","2014","52","2014","418","LAO","Lao People's Dem. Rep.","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","766618","true","-1","N/A",,"false","766618","true",,"false","303354",,"303354","6","true","false",
"C","A","20140101","2014","52","2014","458","MYS","Malaysia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","780475","false","-1","N/A",,"false","780475","false",,"false","1393523",,"1393523","0","true","false",
"C","A","20140101","2014","52","2014","380","ITA","Italy","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2515","Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3115770","false","-1","N/A",,"true","3115770","false",,"false","2611142",,"2611142","0","false","false",
"C","A","20140101","2014","52","2014","470","MLT","Malta","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2515","Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","168",,"168","0","true","false",
"C","A","20140101","2014","52","2014","360","IDN","Indonesia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60","false","-1","N/A",,"false","60","false",,"false","2795",,"2795","0","true","false",
"C","A","20140101","2014","52","2014","372","IRL","Ireland","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","187","false","8","kg","187","false","187","false","0","false","9473.541","0","9473.541","0","true","false",
"C","A","20140101","2014","52","2014","462","MDV","Maldives","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","true","-1","N/A",,"false","3","true",,"false","38",,"38","6","true","false",
"C","A","20140101","2014","52","2014","490","S19","Other Asia, nes","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","958","true","-1","N/A",,"false","958","true",,"false","276958",,"276958","6","true","false",
"C","A","20140101","2014","52","2014","512","OMN","Oman","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2328000","false","8","kg","2328000","false","2328000","false","0","false","557882.915",,"557882.915","0","false","true",
"C","A","20140101","2014","52","2014","528","NLD","Netherlands","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","923","false","8","kg","923","false","923","false","0","false","2822.661",,"2822.661","0","false","true",
"C","A","20140101","2014","52","2014","540","NCL","New Caledonia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92768","false","-1","N/A",,"false","92768","false",,"false","38268",,"38268","0","true","false",
"C","A","20140101","2014","52","2014","554","NZL","New Zealand","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2098645","false","8","kg","2098645","false","2098645","false","2214758","false","727179.491",,"727179.491","0","false","true",
"C","A","20140101","2014","52","2014","586","PAK","Pakistan","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","811000","false","-1","N/A",,"false","811000","false",,"false","127566",,"127566","0","true","false",
"C","A","20140101","2014","52","2014","608","PHL","Philippines","M","Import","36","AUS","Australia","0","W00","World","H2","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","185210","false","-1","N/A",,"false","185210","false",,"false","80830",,"80830","0","true","false",
"C","A","20140101","2014","52","2014","642","ROU","Romania","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","640","false","-1","N/A",,"false","640","false",,"false","44",,"44","0","true","false",
"C","A","20140101","2014","52","2014","643","RUS","Russian Federation","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8400","false","-1","N/A",,"false","8400","false",,"false","6174",,"6174","0","true","false",
"C","A","20140101","2014","52","2014","490","S19","Other Asia, nes","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2515","Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43","false","-1","N/A",,"false","43","false",,"false","228485",,"228485","0","true","false",
"C","A","20140101","2014","52","2014","540","NCL","New Caledonia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2515","Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101900021","false","-1","N/A",,"false","101900021","false",,"false","1694890",,"1694890","0","true","false",
"C","A","20140101","2014","52","2014","496","MNG","Mongolia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","116","true","-1","N/A",,"false","116","true",,"false","1321",,"1321","6","true","false",
"C","A","20140101","2014","52","2014","540","NCL","New Caledonia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","151","false","-1","N/A",,"false","151","false",,"false","4071",,"4071","0","true","false",
"C","A","20140101","2014","52","2014","554","NZL","New Zealand","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","4499.458","true","-1","N/A","0","false","4499.458","true","1235","false","50794.141",,"50794.141","0","false","true",
